epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
84;0.28274268732668767;0.896737;0.631065;0.886808;;;0.573869;14681;0.915663;0.690688;0.969907;0.42929;0.876785;0.513687;0.836759;;;0.3047482180741542;0.479358;3222;0.908376;0.565657;0.953697;0.385321
85;0.28240247722213985;0.897691;0.63165;0.887393;;;0.582285;14681;0.912745;0.715939;0.97487;0.40463;0.879888;0.512921;0.836076;;;0.30419811488474324;0.486301;3222;0.907854;0.587189;0.958363;0.37844
86;0.2857419880465212;0.892923;0.604435;0.880232;;;0.567269;14681;0.913334;0.669112;0.968016;0.413186;0.876164;0.505349;0.833004;;;0.3071441616953196;0.493119;3222;0.908313;0.561873;0.952979;0.385321
87;0.2851092529122308;0.878687;0.580288;0.873332;;;0.548793;14681;0.928062;0.553258;0.931936;0.5385;0.850714;0.486805;0.831488;;;0.335006647207384;0.470183;3222;0.917724;0.451404;0.90883;0.479358
88;0.28416367160068445;0.885703;0.59704;0.877591;;;0.555332;14681;0.923236;0.592681;0.94651;0.497232;0.865611;0.497131;0.835388;;;0.32157341416747137;0.496568;3222;0.91794;0.503685;0.927495;0.470184
89;0.2870159112630054;0.893808;0.605087;0.88064;;;0.563161;14681;0.91256;0.680438;0.970143;0.40614;0.87275;0.495225;0.836458;;;0.30582620171583785;0.484163;3222;0.905461;0.544521;0.952261;0.364679
90;0.2829657037748209;0.895579;0.620078;0.886648;;;0.576382;14681;0.915928;0.679589;0.968095;0.43231;0.874612;0.504742;0.837652;;;0.3097038086790483;0.487472;3222;0.909842;0.550633;0.949031;0.399083
91;0.2820008609586764;0.898372;0.642253;0.891891;;;0.59196;14681;0.910691;0.737296;0.978415;0.387016;0.878026;0.513909;0.837545;;;0.30050914582907967;0.477477;3222;0.902998;0.58498;0.962312;0.33945
92;0.28105439754417;0.893604;0.619949;0.884262;;;0.574799;14681;0.92327;0.638798;0.956436;0.492199;0.867474;0.505158;0.831911;;;0.3189792932004828;0.486364;3222;0.913424;0.512195;0.935391;0.433486
93;0.28091619858706907;0.8699;0.592855;0.873336;;;0.549572;14681;0.934418;0.516968;0.91366;0.590337;0.838299;0.48454;0.825751;;;0.35786442865151047;0.448513;3222;0.922102;0.42115;0.888012;0.520642
94;0.27934399040490865;0.900007;0.6431;0.892652;;;0.59386;14681;0.914244;0.729443;0.975894;0.415199;0.877716;0.511937;0.833639;;;0.3044605501976574;0.485126;3222;0.904875;0.578358;0.95944;0.355505
95;0.28297245903801477;0.898713;0.639874;0.892961;;;0.587733;14681;0.91272;0.726449;0.976209;0.403624;0.877405;0.510732;0.836998;;;0.3027243146812746;0.481651;3222;0.904022;0.577947;0.960158;0.348624
96;0.28346096637692586;0.898985;0.639555;0.890711;;;0.590567;14681;0.912199;0.732902;0.977233;0.399094;0.876164;0.503377;0.828839;;;0.30733766544362834;0.4819;3222;0.903346;0.570342;0.95944;0.344037
97;0.28052936762816966;0.900552;0.641387;0.891649;;;0.586967;14681;0.915643;0.725793;0.974791;0.426271;0.878957;0.511167;0.832069;;;0.30662481353602594;0.480984;3222;0.908316;0.579861;0.956569;0.383028
98;0.2779284972370414;0.895307;0.611565;0.88203;;;0.568913;14681;0.913559;0.688758;0.970774;0.413186;0.874612;0.499802;0.831163;;;0.31390529286410035;0.479358;3222;0.90593;0.555556;0.954056;0.366972
99;0.2815820369233829;0.894762;0.621018;0.886454;;;0.571932;14681;0.921448;0.651994;0.960139;0.477101;0.868715;0.496996;0.83073;;;0.32014023705456734;0.484163;3222;0.911816;0.518414;0.938981;0.419725
