epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
62;0.29128401957040717;0.887746;0.576066;0.861508;;;0.532598;14681;0.893488;0.762791;0.135345;0.987947;0.247609;0.88144;0.5093;0.839242;;;0.2961867646141351;0.486239;3222;0.891276;0.68;0.13532;0.982771;0.233945
63;0.2893757264236202;0.885703;0.564199;0.858004;;;0.525918;14681;0.901809;0.658787;0.135345;0.973846;0.322597;0.877405;0.50535;0.839872;;;0.29718530024063655;0.485194;3222;0.90104;0.585062;0.13532;0.964106;0.323394
64;0.2925759754472578;0.885021;0.560858;0.858101;;;0.527638;14681;0.89647;0.686642;0.135345;0.980227;0.276799;0.876474;0.50699;0.842121;;;0.29710807248922255;0.491991;3222;0.89458;0.596939;0.13532;0.971644;0.268349
65;0.2917303621269573;0.885294;0.569201;0.862577;;;0.535481;14681;0.899376;0.668896;0.135345;0.976603;0.301963;0.878026;0.510084;0.844873;;;0.29364300801341836;0.486239;3222;0.898435;0.598174;0.13532;0.968414;0.300459
66;0.29129063931357413;0.886929;0.568057;0.859332;;;0.534474;14681;0.898224;0.697702;0.135345;0.980306;0.290388;0.880509;0.509575;0.841027;;;0.2953779008320442;0.485194;3222;0.897122;0.628141;0.13532;0.973439;0.286697
67;0.2919252933499786;0.888495;0.578951;0.863619;;;0.542023;14681;0.895996;0.743056;0.135345;0.985426;0.26925;0.879578;0.511023;0.843016;;;0.29632702445314213;0.486239;3222;0.892343;0.644578;0.13532;0.978823;0.245413
68;0.28632758514963635;0.888563;0.576558;0.863524;;;0.536487;14681;0.902051;0.688913;0.135345;0.977233;0.322094;0.877716;0.503083;0.843516;;;0.29663040278991654;0.493119;3222;0.897606;0.598131;0.13532;0.969131;0.293578
69;0.2874842507681087;0.888904;0.580507;0.864338;;;0.54326;14681;0.8993;0.714976;0.135345;0.981409;0.297937;0.878336;0.50769;0.846394;;;0.2930964072628616;0.490826;3222;0.896883;0.606796;0.13532;0.970926;0.286697
70;0.288621066603651;0.889585;0.584651;0.863948;;;0.543533;14681;0.897708;0.74079;0.135345;0.984481;0.283342;0.880509;0.50987;0.842535;;;0.2968485310238981;0.488688;3222;0.893736;0.647399;0.13532;0.978105;0.256881
71;0.29214889441728675;0.885362;0.563441;0.85912;;;0.527583;14681;0.903836;0.645038;0.135345;0.970695;0.340211;0.876474;0.500281;0.841679;;;0.2984042100002498;0.488532;3222;0.902291;0.574803;0.13532;0.961235;0.334862
72;0.28817384612246844;0.887746;0.571419;0.861948;;;0.530951;14681;0.901148;0.685652;0.135345;0.977391;0.315048;0.877716;0.505313;0.843078;;;0.2964950256710982;0.487414;3222;0.898401;0.595455;0.13532;0.968055;0.300459
73;0.2891287320978545;0.888087;0.577781;0.865645;;;0.536487;14681;0.894932;0.749275;0.135345;0.986372;0.260191;0.88144;0.516855;0.844691;;;0.2950395271875783;0.5;3222;0.891786;0.675325;0.13532;0.982053;0.238532
74;0.2893898085720914;0.88652;0.565074;0.858883;;;0.520865;14681;0.900319;0.676957;0.135345;0.976918;0.309009;0.876474;0.50509;0.840741;;;0.2968139096049327;0.494279;3222;0.898;0.585586;0.13532;0.966978;0.298165
75;0.2864475274837502;0.889585;0.584167;0.866241;;;0.537494;14681;0.899488;0.722628;0.135345;0.982039;0.298943;0.88113;0.519157;0.84469;;;0.293078403001909;0.49115;3222;0.896928;0.635897;0.13532;0.974515;0.284404
76;0.289722024824773;0.889381;0.578297;0.86383;;;0.540473;14681;0.900622;0.709827;0.135345;0.980227;0.309009;0.880509;0.517707;0.842044;;;0.29587716574553447;0.5;3222;0.898176;0.623188;0.13532;0.972003;0.295872
77;0.2890527282212396;0.886929;0.577082;0.863566;;;0.537997;14681;0.907099;0.644818;0.135345;0.96841;0.366381;0.878336;0.517344;0.844351;;;0.2963647402818346;0.496599;3222;0.90742;0.577465;0.13532;0.956928;0.376147
78;0.2883711415173292;0.890198;0.588846;0.866556;;;0.543763;14681;0.899668;0.729498;0.135345;0.98259;0.29995;0.880819;0.515693;0.847369;;;0.2927167259762555;0.501129;3222;0.896108;0.636842;0.13532;0.975233;0.277523
79;0.2921428588146605;0.886452;0.574837;0.868469;;;0.5385;14681;0.902769;0.66129;0.135345;0.973531;0.330146;0.877405;0.49907;0.843574;;;0.29687456992899386;0.494331;3222;0.90104;0.585062;0.13532;0.964106;0.323394
80;0.29031898482530694;0.889245;0.58861;0.871662;;;0.549069;14681;0.901014;0.704881;0.135345;0.979518;0.312531;0.88113;0.510802;0.846291;;;0.2935347605027226;0.5;3222;0.899302;0.624413;0.13532;0.971285;0.305046
81;0.2866543560015368;0.885021;0.560779;0.862659;;;0.534708;14681;0.897501;0.678614;0.135345;0.978809;0.285858;0.878336;0.498444;0.838289;;;0.2986002919939939;0.482993;3222;0.89662;0.607843;0.13532;0.971285;0.284404
82;0.2857817802952491;0.889517;0.5945;0.869101;;;0.549069;14681;0.895372;0.768778;0.135345;0.987632;0.262708;0.88144;0.51927;0.846539;;;0.29252135043722144;0.493119;3222;0.891022;0.682432;0.13532;0.98313;0.231651
83;0.28812149931226216;0.88904;0.589019;0.870573;;;0.545546;14681;0.902744;0.689619;0.135345;0.976918;0.32763;0.877716;0.506944;0.843237;;;0.2957431986456255;0.484649;3222;0.899733;0.591304;0.13532;0.96626;0.311927
