epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
40;0.30811337676660766;0.8825012;0.5304343894154125;0.843151431206894;0.5188726723704077;14681;0.8906061;0.7046875;0.98511106;0.22697534;0.88392305;0.5024795410863461;0.8219538057258771;0.3064792344218304;0.4863013698630137;3222;0.8925781;0.70666665;0.98420674;0.24311927
41;0.3068209085155472;0.88488525;0.5334330461178146;0.842293602285979;0.5203824861600402;14681;0.8964548;0.6849315;0.98006934;0.2767992;0.88547486;0.5098735654943453;0.8236669915764931;0.3043752147507993;0.481651376146789;3222;0.8976637;0.6830601;0.97918165;0.28669724
42;0.3096554032977632;0.8836591;0.5307324601648429;0.8391643127944687;0.5228988424760946;14681;0.89353776;0.6929461;0.9825114;0.2521389;0.8829919;0.5027120906187277;0.8157077984944381;0.30703336223821176;0.4806378132118451;3222;0.89401376;0.6787879;0.9809763;0.25688073
43;0.3110142820048792;0.88461274;0.5299349498654099;0.8395227161519152;0.5193759436336185;14681;0.8933066;0.71018654;0.984087;0.24911928;0.880509;0.49896610315487294;0.8187925209270468;0.30656414553014333;0.4724770642201835;3222;0.89296234;0.6526946;0.97918165;0.25
44;0.30795780847500076;0.8833186;0.5308039030475791;0.8388692445436062;0.5165330661322646;14681;0.89237475;0.6991279;0.98369306;0.24207348;0.8808194;0.500263893543442;0.819737613361697;0.3059694803256858;0.48853211009174313;3222;0.8935124;0.65294117;0.9788227;0.25458714
45;0.30968056581358716;0.88502145;0.5350312109236462;0.840328231662415;0.5193759436336185;14681;0.8964697;0.6866417;0.9802269;0.2767992;0.8823712;0.5049399283121778;0.8197269110954509;0.3053059053025136;0.4885844748858447;3222;0.8973259;0.6476684;0.97559226;0.28669724
46;0.3088535139885661;0.8827055;0.5325076800288303;0.8360069140130876;0.5163563160543533;14681;0.8897968;0.71828663;0.98652905;0.21942627;0.88112974;0.49870457340393926;0.8172118785276317;0.30773318790172216;0.48853211009174313;3222;0.8897178;0.6906475;0.9845657;0.22018349
47;0.3085582627359199;0.885362;0.5320758761515638;0.8405312608209863;0.5155935613682092;14681;0.9010125;0.65966386;0.97447616;0.31605434;0.88019866;0.49854624030750583;0.8208111329913;0.3058688523401613;0.481651376146789;3222;0.9;0.6126126;0.96913135;0.3119266
48;0.3121966955847477;0.8844084;0.5307178180739527;0.8400495373702502;0.5135542168674698;14681;0.8952627;0.6883117;0.9810934;0.26673377;0.8833023;0.49806236289206607;0.8198421662704084;0.30679650283762566;0.48623853211009177;3222;0.8953412;0.67241377;0.9795406;0.26834863
49;0.30606192530168796;0.8830461;0.5340965216215068;0.8413186381084741;0.5196177062374245;14681;0.8888416;0.7385159;0.988341;0.21036738;0.8814401;0.498473861193593;0.8207246916100819;0.31039862840220767;0.4751131221719457;3222;0.88849384;0.7109375;0.9867193;0.2087156
